account_key,status,join_date,cancel_date,days_to_cancel,is_udacity,is_canceled
281,current,2014-11-14,,,False,False
282,current,2014-11-14,,,False,False
283,current,2014-11-15,,,False,False
283,canceled,2014-11-13,2014-11-15,2,False,True
284,canceled,2015-02-09,2015-04-08,58,False,True
284,current,2015-04-08,,,False,False
285,canceled,2015-01-07,2015-03-10,62,False,True
285,current,2015-03-10,,,False,False
286,current,2015-07-08,,,False,False
287,current,2015-05-11,,,False,False
288,current,2014-12-03,,,False,False
289,canceled,2015-04-07,2015-07-14,98,False,True
290,current,2015-05-30,,,False,False
291,current,2015-04-02,,,False,False
292,current,2014-12-05,,,False,False
293,canceled,2015-05-10,2015-08-17,99,False,True
294,current,2015-06-04,,,False,False
295,canceled,2014-12-07,2014-12-07,0,False,True
295,current,2015-04-03,,,False,False
296,current,2015-06-08,,,False,False
297,current,2015-01-12,,,False,False
298,current,2015-05-08,,,False,False
299,current,2015-04-24,,,False,False
300,current,2014-12-03,,,False,False
301,current,2014-11-10,,,False,False
302,current,2015-04-24,,,False,False
303,current,2015-05-11,,,False,False
304,current,2015-05-10,,,False,False
305,current,2015-03-10,,,False,False
306,canceled,2015-02-08,2015-04-08,59,False,True
306,current,2015-04-08,,,False,False
307,current,2015-02-10,,,False,False
308,current,2014-11-16,,,False,False
309,current,2014-11-10,,,False,False
310,current,2015-04-06,,,False,False
311,current,2014-11-16,,,False,False
312,canceled,2014-11-10,2015-03-10,120,True,True
312,canceled,2015-03-10,2015-04-01,22,True,True
312,canceled,2015-04-01,2015-07-02,92,True,True
312,current,2015-07-08,,,True,False
313,current,2015-02-05,,,False,False
314,current,2015-05-11,,,False,False
315,canceled,2014-11-10,2015-05-17,188,False,True
316,canceled,2014-12-06,2015-06-13,189,False,True
317,current,2015-07-09,,,False,False
318,current,2015-06-05,,,False,False
319,current,2014-12-30,,,False,False
320,current,2015-05-07,,,False,False
321,canceled,2015-03-10,2015-07-07,119,False,True
321,current,2015-07-09,,,False,False
321,canceled,2014-11-15,2015-03-10,115,False,True
322,canceled,2014-11-10,2015-02-02,84,False,True
322,canceled,2015-02-12,2015-02-12,0,False,True
322,canceled,2015-02-12,2015-03-10,26,False,True
322,current,2015-03-10,,,False,False
323,canceled,2014-11-10,2015-04-17,158,False,True
324,current,2015-07-09,,,False,False
325,current,2015-07-19,,,False,False
326,current,2015-07-09,,,False,False
327,current,2014-11-14,,,False,False
328,current,2014-11-10,,,False,False
329,canceled,2014-11-10,2015-01-14,65,False,True
329,canceled,2015-03-10,2015-04-08,29,False,True
329,current,2015-04-08,,,False,False
329,canceled,2015-01-14,2015-02-03,20,False,True
329,canceled,2015-02-03,2015-03-10,35,False,True
330,current,2015-05-10,,,False,False
331,current,2015-05-11,,,False,False
332,current,2015-08-11,,,False,False
333,current,2015-04-01,,,False,False
334,canceled,2014-11-16,2015-03-10,114,False,True
334,current,2015-03-10,,,False,False
335,canceled,2014-11-12,2015-05-19,188,False,True
336,current,2014-11-10,,,False,False
337,current,2015-02-10,,,False,False
338,canceled,2014-11-15,2015-01-14,60,False,True
338,canceled,2015-01-14,2015-02-03,20,False,True
338,canceled,2015-02-03,2015-02-22,19,False,True
338,current,2015-05-11,,,False,False
339,canceled,2014-11-10,2015-03-10,120,False,True
339,canceled,2015-04-01,2015-06-17,77,False,True
339,canceled,2015-03-10,2015-04-01,22,False,True
340,current,2015-04-01,,,False,False
341,current,2015-05-10,,,False,False
342,current,2014-12-05,,,False,False
343,canceled,2014-12-07,2015-03-14,97,False,True
344,current,2015-01-11,,,False,False
345,current,2015-01-07,,,False,False
346,current,2014-12-08,,,False,False
346,canceled,2014-12-05,2014-12-05,0,False,True
347,canceled,2014-12-07,2015-03-14,97,False,True
347,current,2015-04-05,,,False,False
348,current,2015-03-05,,,False,False
348,canceled,2015-02-05,2015-02-27,22,False,True
349,current,2015-04-03,,,False,False
350,current,2015-01-07,,,False,False
351,current,2015-03-08,,,False,False
352,current,2015-02-05,,,False,False
353,current,2015-04-24,,,False,False
354,current,2014-11-10,,,False,False
355,current,2015-07-17,,,False,False
356,current,2015-01-09,,,False,False
357,current,2015-01-11,,,False,False
358,current,2014-12-05,,,False,False
359,current,2015-07-15,,,False,False
360,current,2015-05-06,,,False,False
361,canceled,2015-05-13,2015-06-20,38,False,True
362,canceled,2015-01-09,2015-02-05,27,False,True
362,canceled,2015-02-05,2015-04-16,70,False,True
363,current,2015-04-02,,,False,False
364,current,2014-12-05,,,False,False
365,current,2015-05-13,,,False,False
366,canceled,2014-11-10,2015-03-10,120,False,True
366,canceled,2015-04-01,2015-04-17,16,False,True
366,canceled,2015-03-10,2015-04-01,22,False,True
367,canceled,2014-11-11,2015-04-02,142,False,True
368,current,2014-11-10,,,False,False
369,current,2014-11-10,,,False,False
370,current,2015-04-24,,,False,False
371,current,2015-01-13,,,False,False
372,current,2015-03-06,,,False,False
373,current,2015-01-12,,,False,False
374,current,2015-02-06,,,False,False
375,current,2015-03-09,,,False,False
376,current,2015-05-05,,,False,False
377,current,2014-12-05,,,False,False
378,canceled,2014-11-10,2015-03-10,120,False,True
378,canceled,2015-03-10,2015-04-17,38,False,True
379,current,2015-04-07,,,False,False
379,canceled,2015-01-12,2015-01-12,0,False,True
380,current,2014-12-08,,,False,False
381,current,2015-02-09,,,False,False
382,current,2015-05-06,,,False,False
383,current,2015-01-07,,,False,False
384,current,2015-06-08,,,False,False
385,current,2015-05-08,,,False,False
386,canceled,2015-02-06,2015-04-08,61,False,True
386,canceled,2015-04-08,2015-06-13,66,False,True
386,canceled,2015-01-13,2015-01-17,4,False,True
387,current,2015-04-24,,,False,False
388,current,2015-02-03,,,False,False
388,canceled,2014-12-08,2015-02-03,57,False,True
389,current,2014-11-15,,,False,False
389,canceled,2014-11-14,2014-11-15,1,False,True
390,current,2014-11-10,,,False,False
391,current,2015-02-10,,,False,False
392,current,2015-04-02,,,False,False
393,current,2015-07-18,,,False,False
394,canceled,2014-11-10,2015-04-17,158,False,True
395,current,2015-04-08,,,False,False
396,current,2015-04-24,,,False,False
397,canceled,2014-12-04,2015-04-01,118,False,True
397,current,2015-04-01,,,False,False
398,current,2015-05-11,,,False,False
399,current,2015-05-12,,,False,False
400,current,2015-04-01,,,False,False
401,current,2015-04-24,,,False,False
402,canceled,2015-01-12,2015-03-10,57,False,True
402,current,2015-03-10,,,False,False
403,current,2015-07-16,,,False,False
404,canceled,2015-04-07,2015-04-08,1,False,True
404,canceled,2015-04-08,2015-08-17,131,False,True
405,current,2015-06-04,,,False,False
405,canceled,2015-06-03,2015-06-04,1,False,True
406,current,2015-05-10,,,False,False
407,canceled,2015-05-06,2015-08-13,99,False,True
408,canceled,2014-11-10,2015-03-10,120,False,True
408,canceled,2015-03-10,2015-04-01,22,False,True
408,canceled,2015-04-01,2015-04-17,16,False,True
409,current,2015-03-06,,,False,False
410,canceled,2015-05-12,2015-08-19,99,False,True
411,canceled,2014-12-08,2015-02-03,57,False,True
411,canceled,2015-03-10,2015-04-08,29,False,True
411,canceled,2015-02-03,2015-03-10,35,False,True
411,canceled,2015-04-08,2015-06-15,68,False,True
412,canceled,2014-11-10,2015-03-10,120,False,True
412,current,2015-04-01,,,False,False
412,canceled,2015-03-10,2015-04-01,22,False,True
413,canceled,2015-02-06,2015-05-13,96,False,True
414,current,2015-06-07,,,False,False
415,canceled,2014-11-16,2015-03-10,114,False,True
415,current,2015-03-10,,,False,False
416,canceled,2015-02-11,2015-02-16,5,False,True
416,canceled,2015-04-08,2015-07-15,98,False,True
417,current,2015-08-12,,,False,False
418,canceled,2015-01-11,2015-07-18,188,False,True
419,canceled,2015-03-10,2015-08-08,151,False,True
419,canceled,2014-11-17,2015-03-10,113,False,True
420,current,2014-11-10,,,False,False
421,current,2015-01-08,,,False,False
422,current,2015-05-08,,,False,False
423,canceled,2015-02-09,2015-04-08,58,False,True
423,current,2015-04-08,,,False,False
424,current,2015-04-06,,,False,False
425,current,2015-04-05,,,False,False
426,canceled,2015-04-01,2015-04-02,1,False,True
426,canceled,2015-05-07,2015-08-14,99,False,True
427,canceled,2015-01-09,2015-06-16,158,False,True
428,current,2014-11-10,,,False,False
429,canceled,2014-11-10,2015-03-10,120,False,True
429,canceled,2015-03-10,2015-06-17,99,False,True
430,current,2015-07-10,,,False,False
431,canceled,2014-11-10,2015-03-17,127,False,True
432,current,2015-03-09,,,False,False
433,current,2015-04-08,,,False,False
434,canceled,2015-01-12,2015-06-03,142,False,True
435,current,2015-02-06,,,False,False
436,current,2015-02-08,,,False,False
437,current,2015-04-02,,,False,False
438,current,2015-07-17,,,False,False
439,canceled,2014-11-10,2015-03-10,120,False,True
439,current,2015-03-10,,,False,False
440,canceled,2014-11-11,2015-02-18,99,False,True
441,canceled,2014-11-12,2015-06-19,219,False,True
442,canceled,2015-01-07,2015-03-10,62,False,True
442,current,2015-03-10,,,False,False
442,canceled,2015-03-15,2015-04-27,43,False,True
442,current,2015-05-14,,,False,False
443,current,2014-11-10,,,False,False
444,canceled,2015-02-05,2015-04-08,62,False,True
444,current,2015-04-08,,,False,False
444,canceled,2014-12-04,2014-12-06,2,False,True
445,current,2015-05-13,,,False,False
446,current,2015-01-07,,,False,False
447,canceled,2015-04-24,2015-06-04,41,False,True
448,canceled,2014-11-10,2015-01-14,65,True,True
448,canceled,2014-11-05,2014-11-10,5,True,True
448,canceled,2015-01-27,2015-01-27,0,True,True
448,canceled,2014-11-10,2014-11-10,0,True,True
448,current,2015-03-10,,,True,False
448,canceled,2015-01-14,2015-01-27,13,True,True
448,canceled,2015-01-27,2015-03-10,42,True,True
448,canceled,2015-01-27,2015-01-27,0,True,True
448,canceled,2015-01-27,2015-01-27,0,True,True
449,current,2015-04-03,,,False,False
450,current,2014-12-07,,,False,False
451,current,2015-04-01,,,False,False
452,current,2015-06-04,,,False,False
453,current,2014-12-08,,,False,False
454,current,2015-05-12,,,False,False
455,current,2015-04-01,,,False,False
456,current,2015-06-07,,,False,False
457,current,2015-03-10,,,False,False
458,canceled,2014-11-10,2015-04-01,142,False,True
458,canceled,2015-04-04,2015-04-06,2,False,True
458,current,2015-04-06,,,False,False
459,current,2015-06-08,,,False,False
460,canceled,2015-01-07,2015-05-05,118,False,True
460,current,2015-05-07,,,False,False
461,current,2014-12-08,,,False,False
462,current,2015-07-09,,,False,False
463,current,2015-02-09,,,False,False
464,current,2015-04-01,,,False,False
465,canceled,2015-02-05,2015-08-12,188,False,True
466,current,2015-05-06,,,False,False
467,canceled,2015-01-10,2015-07-02,173,False,True
468,current,2015-04-02,,,False,False
469,current,2014-11-16,,,False,False
471,current,2015-05-07,,,False,False
472,current,2015-01-07,,,False,False
473,canceled,2015-04-01,2015-04-15,14,False,True
473,canceled,2014-12-08,2015-04-01,114,False,True
474,canceled,2014-12-09,2015-03-16,97,False,True
475,current,2015-05-09,,,False,False
476,current,2015-05-08,,,False,False
477,canceled,2015-03-04,2015-07-11,129,False,True
478,current,2015-06-09,,,False,False
479,current,2015-05-09,,,False,False
480,canceled,2014-11-10,2015-03-10,120,False,True
480,canceled,2015-03-10,2015-04-01,22,False,True
480,current,2015-04-01,,,False,False
481,current,2015-05-28,,,False,False
482,current,2015-04-03,,,False,False
483,canceled,2014-11-10,2015-04-20,161,False,True
484,current,2015-05-07,,,False,False
485,current,2015-03-10,,,False,False
486,current,2015-01-12,,,False,False
487,current,2015-05-10,,,False,False
488,current,2015-01-09,,,False,False
488,canceled,2014-11-15,2014-11-20,5,False,True
489,current,2015-06-01,,,False,False
490,current,2015-05-13,,,False,False
491,current,2015-05-12,,,False,False
492,current,2015-03-10,,,False,False
493,current,2015-02-05,,,False,False
494,current,2015-02-09,,,False,False
494,canceled,2014-11-10,2014-11-17,7,False,True
495,current,2014-12-04,,,False,False
495,canceled,2014-11-12,2014-11-17,5,False,True
496,current,2015-06-03,,,False,False
497,current,2015-05-12,,,False,False
498,current,2015-07-09,,,False,False
499,canceled,2014-11-17,2014-11-17,0,False,True
499,canceled,2015-02-06,2015-05-13,96,False,True
500,canceled,2014-12-05,2015-02-03,60,False,True
500,canceled,2014-11-12,2014-11-17,5,False,True
500,current,2015-02-03,,,False,False
501,current,2015-05-11,,,False,False
502,current,2014-12-08,,,False,False
502,canceled,2014-11-15,2014-11-21,6,False,True
503,current,2015-06-03,,,False,False
504,canceled,2014-11-10,2015-06-17,219,False,True
505,canceled,2015-03-07,2015-05-14,68,False,True
506,current,2014-11-10,,,False,False
507,canceled,2015-01-09,2015-03-10,60,False,True
507,current,2015-03-10,,,False,False
508,current,2015-03-04,,,False,False
509,current,2015-03-05,,,False,False
510,current,2015-02-05,,,False,False
511,current,2015-05-11,,,False,False
512,canceled,2014-11-10,2015-03-17,127,False,True
513,current,2015-05-28,,,False,False
514,canceled,2014-12-04,2015-06-11,189,False,True
515,current,2015-01-08,,,False,False
516,canceled,2014-12-09,2014-12-11,2,False,True
516,current,2015-05-11,,,False,False
517,current,2015-03-06,,,False,False
518,current,2015-06-08,,,False,False
519,current,2015-05-11,,,False,False
520,canceled,2014-11-10,2015-03-17,127,False,True
521,canceled,2015-02-09,2015-04-08,58,False,True
521,canceled,2015-04-08,2015-07-16,99,False,True
